Date, Price, Open, High, Low, Volume, Change%
Apr 05 1991,10.9,10.98,11.03,10.81,0,1.58%
Apr 19 1991,12.22,12.22,12.44,12.1,0,12.11%
Apr 22 1991,12.05,12.14,12.31,11.8,0,-1.39%
Apr 23 1991,11.54,11.75,11.93,11.45,0,-4.23%
Apr 24 1991,11.33,11.2,11.45,11.07,0,-1.82%
Apr 25 1991,11.54,11.45,11.58,11.37,0,1.85%
Apr 26 1991,11.28,11.67,11.71,11.2,0,-2.25%
Apr 29 1991,11.07,11.03,11.11,10.77,0,-1.86%
Apr 30 1991,10.69,11.07,11.11,10.6,0,-3.43%
May 03 1991,11.11,11.03,11.2,10.9,0,3.93%
May 06 1991,10.86,11.11,11.16,10.77,0,-2.25%
May 07 1991,10.86,10.73,10.9,10.64,0,0.00%
May 08 1991,10.94,11.03,11.11,10.94,0,0.74%
May 09 1991,10.86,10.77,10.98,10.77,0,-0.73%
May 10 1991,11.2,11.11,11.2,10.94,0,3.13%
May 13 1991,11.2,11.33,11.41,11.2,0,0.00%
May 14 1991,11.37,11.11,11.37,11.03,0,1.52%
May 16 1991,11.75,11.54,11.88,11.41,0,3.34%
May 17 1991,12.18,12.31,12.35,12.05,0,3.66%
May 20 1991,11.88,11.93,11.93,11.71,0,-2.46%
May 21 1991,12.91,12.22,12.99,12.1,0,8.67%
May 23 1991,12.65,12.22,12.99,12.05,0,-2.01%
May 27 1991,12.69,12.65,12.91,12.44,0,0.32%
May 29 1991,12.91,12.91,12.91,12.91,0,1.73%
May 30 1991,13.38,13.42,13.59,13.08,0,3.64%
Jun 03 1991,12.22,12.48,12.48,12.05,0,-8.67%
Jun 04 1991,12.22,12.22,12.31,12.1,0,0.00%
Jun 05 1991,12.22,12.4,12.4,12.05,0,0.00%
Jun 06 1991,12.1,12.31,12.31,11.97,0,-0.98%
Jun 07 1991,11.33,11.97,11.97,11.11,0,-6.36%
Jun 11 1991,11.58,11.63,11.71,11.37,0,2.21%
Jun 12 1991,12.14,11.88,12.18,11.75,0,4.84%
Jun 13 1991,11.84,12.31,12.31,11.71,0,-2.47%
Jun 14 1991,12.27,11.8,12.27,11.71,0,3.63%
Jun 17 1991,12.82,13.08,13.25,12.74,0,4.48%
Jun 18 1991,13.16,13.16,13.21,12.91,0,2.65%
Jun 19 1991,12.65,12.95,12.95,12.61,0,-3.88%
Jun 20 1991,13.04,12.82,13.34,12.82,0,3.08%
Jun 21 1991,13.16,13.51,13.51,12.78,0,0.92%
Jun 24 1991,12.14,12.57,12.57,12.05,0,-7.75%
Jun 25 1991,12.05,11.75,12.1,11.75,0,-0.74%
Jun 26 1991,11.84,11.97,12.18,11.8,0,-1.74%
Jun 27 1991,12.05,11.45,12.05,11.33,0,1.77%
Jun 28 1991,11.67,12.05,12.14,11.54,0,-3.15%
Jul 02 1991,11.28,11.37,11.37,11.16,0,-3.34%
Jul 03 1991,10.69,11.2,11.28,10.6,0,-5.23%
Jul 04 1991,10.34,10.69,10.69,10.09,0,-3.27%
Jul 05 1991,10.6,10.17,10.6,10.17,0,2.51%
Jul 08 1991,10.73,10.47,11.11,10.47,0,1.23%
Jul 09 1991,11.24,10.98,11.37,10.98,0,4.75%
Jul 10 1991,11.28,11.71,11.75,11.28,0,0.36%
Jul 11 1991,11.41,11.37,11.63,11.28,0,1.15%
Jul 12 1991,11.63,11.75,11.75,11.37,0,1.93%
Jul 15 1991,11.11,11.2,11.33,11.03,0,-4.47%
Jul 16 1991,11.28,10.94,11.33,10.86,0,1.53%
Jul 17 1991,11.2,11.2,11.24,11.03,0,-0.71%
Jul 19 1991,11.11,11.03,11.11,10.86,0,-0.80%
Jul 24 1991,11.58,11.54,11.71,11.37,0,4.23%
Jul 25 1991,12.14,11.71,12.4,11.71,0,4.84%
Aug 01 1991,15.99,15.86,16.37,15.6,0,31.71%
Aug 02 1991,16.5,17.18,17.44,16.5,0,3.19%
Aug 05 1991,16.67,16.41,16.93,16.28,0,1.03%
Aug 07 1991,15.69,16.33,16.5,15.47,0,-5.88%
Aug 08 1991,14.79,15.05,15.05,14.1,0,-5.74%
Aug 09 1991,15.05,15.3,15.39,14.87,0,1.76%
Aug 12 1991,14.92,15.13,15.13,14.83,0,-0.86%
Aug 13 1991,15.39,15.22,15.73,15.13,0,3.15%
Aug 14 1991,15.39,15.56,15.64,15.3,0,0.00%
Aug 16 1991,15.69,15.73,15.94,15.6,0,1.95%
Aug 19 1991,16.67,16.75,16.75,16.16,0,6.25%
Aug 20 1991,15.81,16.24,16.33,15.56,0,-5.16%
Aug 21 1991,15.22,15.56,15.81,15.22,0,-3.73%
Aug 22 1991,16.07,16.33,16.5,16.07,0,5.58%
Aug 23 1991,16.58,16.28,16.67,16.07,0,3.17%
Aug 26 1991,17.44,17.61,17.61,17.18,0,5.19%
Aug 27 1991,16.67,16.67,16.75,16.33,0,-4.42%
Aug 28 1991,17.1,17.18,17.52,17.01,0,2.58%
Aug 30 1991,15.56,15.47,15.81,15.22,0,-9.01%
Sep 03 1991,14.96,15.64,15.73,14.79,0,-3.86%
Sep 04 1991,14.79,14.7,14.96,14.53,0,-1.14%
Sep 05 1991,15.22,15.3,15.47,15.05,0,2.91%
Sep 06 1991,14.96,15.47,15.56,14.92,0,-1.71%
Sep 10 1991,14.7,15.09,15.13,14.62,0,-1.74%
Sep 13 1991,15.3,14.79,15.47,14.7,0,4.08%
Sep 16 1991,15.56,15.73,15.81,15.3,0,1.70%
Sep 17 1991,14.66,14.36,14.87,14.1,0,-5.78%
Sep 18 1991,13.76,14.53,14.7,13.59,0,-6.14%
Sep 20 1991,14.02,14.53,14.53,13.81,0,1.89%
Sep 24 1991,14.06,14.1,14.28,13.85,0,0.29%
Sep 25 1991,14.06,14.19,14.36,14.02,0,0.00%
Sep 26 1991,14.19,14.45,14.53,14.1,0,0.92%
Sep 27 1991,14.96,14.49,14.96,14.19,0,5.43%
Oct 01 1991,15.56,15.73,15.77,15.47,0,4.01%
Oct 03 1991,15.17,15.56,15.64,15.05,0,-2.51%
Oct 04 1991,14.62,14.79,14.96,14.62,0,-3.63%
Oct 07 1991,14.7,14.96,14.96,14.62,0,0.55%
Oct 09 1991,13.89,14.02,14.1,13.55,0,-5.51%
Oct 10 1991,14.15,14.1,14.19,13.93,0,1.87%
Oct 11 1991,14.19,14.36,14.45,14.1,0,0.28%
Oct 14 1991,13.76,13.89,13.89,13.72,0,-3.03%
Oct 15 1991,13.55,13.76,13.76,13.42,0,-1.53%
Oct 16 1991,13.98,14.02,14.02,13.85,0,3.17%
Oct 18 1991,14.06,14.23,14.36,14.02,0,0.57%
Oct 21 1991,13.85,13.68,13.85,13.59,0,-1.49%
Oct 22 1991,13.85,13.68,13.85,13.59,0,0.00%
Oct 23 1991,13.81,13.76,13.89,13.68,0,-0.29%
Oct 24 1991,13.93,14.19,14.28,13.85,0,0.87%
Oct 29 1991,14.4,14.28,14.45,14.1,0,3.37%
Oct 30 1991,14.1,14.28,14.58,14.02,0,-2.08%
Oct 31 1991,14.23,14.28,14.36,14.1,0,0.92%
Nov 01 1991,14.4,14.66,14.66,14.28,0,1.19%
Nov 08 1991,14.32,14.62,14.75,14.1,0,-0.56%
Nov 11 1991,14.1,14.1,14.15,13.93,0,-1.54%
Nov 12 1991,13.76,13.98,14.06,13.76,0,-2.41%
Nov 13 1991,13.76,13.76,13.81,13.51,0,0.00%
Nov 14 1991,13.68,13.68,13.85,13.59,0,-0.58%
Nov 15 1991,13.38,13.59,13.59,13.16,0,-2.19%
Nov 18 1991,13.25,13.21,13.29,12.99,0,-0.97%
Nov 19 1991,13.98,13.85,14.1,13.55,0,5.51%
Nov 20 1991,13.93,14.1,14.19,13.93,0,-0.36%
Nov 22 1991,13.72,13.98,14.02,13.68,0,-1.51%
Nov 26 1991,13.38,13.55,13.68,13.38,0,-2.48%
Nov 27 1991,13.42,13.51,13.51,13.29,0,0.30%
Nov 28 1991,13.38,13.29,13.38,13.16,0,-0.30%
Nov 29 1991,13.34,13.25,13.68,13.25,0,-0.30%
Dec 03 1991,13.16,13.16,13.34,13.16,0,-1.35%
Dec 04 1991,13.25,13.16,13.25,13.16,0,0.68%
Dec 05 1991,13.08,12.99,13.08,12.99,0,-1.28%
Dec 09 1991,12.4,12.74,12.91,12.4,0,-5.20%
Dec 10 1991,12.4,12.31,12.48,12.31,0,0.00%
Dec 11 1991,12.4,12.4,12.48,12.4,0,0.00%
Dec 12 1991,12.22,12.22,12.4,12.22,0,-1.45%
Dec 16 1991,11.63,11.71,11.8,11.63,0,-4.83%
Dec 17 1991,11.28,11.28,11.45,11.28,0,-3.01%
Dec 18 1991,11.11,11.11,11.28,11.11,0,-1.51%
Dec 20 1991,11.11,11.28,11.28,11.11,0,0.00%
Dec 23 1991,11.37,11.11,11.45,11.11,0,2.34%
Dec 24 1991,11.28,11.2,11.54,11.2,0,-0.79%
Jan 06 1992,11.63,11.8,12.05,11.63,0,3.10%
Jan 07 1992,11.11,11.45,11.45,11.11,0,-4.47%
Jan 08 1992,10.86,10.94,11.11,10.86,0,-2.25%
Jan 09 1992,11.63,10.86,11.63,10.86,0,7.09%
Jan 13 1992,13.16,12.65,13.51,12.65,0,13.16%
Jan 14 1992,12.99,13.34,13.34,12.82,0,-1.29%
Jan 15 1992,13.42,13.59,14.1,13.16,0,3.31%
Jan 16 1992,12.99,12.99,13.51,12.99,0,-3.20%
Jan 17 1992,13.68,13.85,13.85,13.08,0,5.31%
Jan 20 1992,13.38,13.51,13.72,13.08,0,-2.19%
Jan 21 1992,12.82,13.59,13.59,12.82,0,-4.19%
Jan 22 1992,12.82,12.48,12.82,12.4,0,0.00%
Jan 23 1992,13.34,14.1,14.28,13.34,0,4.06%
Jan 27 1992,12.91,13.08,13.16,12.82,0,-3.22%
Jan 29 1992,12.91,12.91,12.99,12.65,0,0.00%
Jan 30 1992,13.08,13.08,13.25,12.82,0,1.32%
Jan 31 1992,12.91,13.08,13.29,12.82,0,-1.30%
Feb 03 1992,13.68,13.16,13.68,12.99,0,5.96%
Feb 04 1992,13.68,13.85,13.85,13.51,0,0.00%
Feb 05 1992,13.51,13.93,13.93,13.42,0,-1.24%
Feb 06 1992,13.34,13.51,13.63,13.16,0,-1.26%
Feb 07 1992,12.05,13.25,13.34,12.05,0,-9.67%
Feb 10 1992,12.82,12.4,12.82,12.4,0,6.39%
Feb 12 1992,12.91,13.34,13.34,12.65,0,0.70%
Feb 13 1992,12.82,12.91,13.16,12.65,0,-0.70%
Feb 17 1992,15.39,14.75,15.81,14.75,0,20.05%
Feb 18 1992,15.13,16.16,16.24,14.96,0,-1.69%
Feb 19 1992,14.79,15.39,15.39,14.19,0,-2.25%
Feb 20 1992,14.96,15.13,15.47,14.96,0,1.15%
Feb 21 1992,15,14.62,15.05,14.36,0,0.27%
Feb 24 1992,14.87,14.96,15.05,14.79,0,-0.87%
Feb 26 1992,15.22,15.3,15.64,15.13,0,2.35%
Feb 27 1992,16.41,15.39,16.58,15.39,0,7.82%
Feb 28 1992,16.84,17.27,17.44,16.75,0,2.62%
Mar 03 1992,25.86,23.72,26.07,23.29,0,53.56%
Mar 10 1992,26.71,28.21,28.21,25.22,0,3.29%
Mar 11 1992,25.65,24.36,25.65,23.94,0,-3.97%
Mar 12 1992,26.07,25.65,27.14,25.65,0,1.64%
Mar 13 1992,25.86,27.14,28.42,25.22,0,-0.81%
Mar 16 1992,25.65,27.78,28.21,25.65,0,-0.81%
Mar 17 1992,25.65,26.93,26.93,25.22,0,0.00%
Mar 24 1992,32.06,30.35,32.91,30.13,0,24.99%
Mar 25 1992,33.34,32.06,33.77,31.63,0,3.99%
Mar 30 1992,36.54,37.61,38.47,35.48,0,9.60%
Mar 31 1992,37.4,36.76,38.9,36.76,0,2.35%
Apr 02 1992,36.97,40.6,40.6,34.83,0,-1.15%
Apr 03 1992,34.41,34.62,34.62,32.91,0,-6.92%
Apr 06 1992,30.77,33.77,33.77,30.77,0,-10.58%
Apr 08 1992,35.48,31.2,36.97,31.2,0,15.31%
Apr 13 1992,33.13,33.34,34.83,32.48,0,-6.62%
Apr 22 1992,37.19,37.61,38.47,36.76,0,12.25%
Apr 28 1992,30.77,33.34,33.34,30.35,0,-17.26%
Apr 30 1992,30.77,28.21,30.77,27.35,0,0.00%
May 06 1992,26.71,26.71,27.78,25.65,0,-13.19%
May 07 1992,27.78,27.78,28.64,27.57,0,4.01%
May 11 1992,25.54,26.93,26.93,25.22,0,-8.06%
May 12 1992,23.08,24.79,25,22.23,0,-9.63%
May 13 1992,25.75,26.07,26.71,25.43,0,11.57%
May 14 1992,25.32,25.43,25.65,24.15,0,-1.67%
May 18 1992,25.54,26.71,26.71,25.22,0,0.87%
